split,method,backend,top_1_accuracy,top_3_accuracy,alpha
train,raw,sentence-transformers/all-MiniLM-L6-v2,0.1667,0.25,
train,mean_offset,sentence-transformers/all-MiniLM-L6-v2,0.1667,0.25,0.0
train,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,0.0833,0.25,0.5
validation,raw,sentence-transformers/all-MiniLM-L6-v2,0.0,0.25,
validation,mean_offset,sentence-transformers/all-MiniLM-L6-v2,0.0,0.25,0.0
validation,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,0.25,0.5,0.5
test,raw,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0
test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.5
