split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
train,raw,tfidf,contextual_sentence,all_candidates,0.0222,0.0222,
train,mean_offset,tfidf,contextual_sentence,all_candidates,0.0222,0.0222,0.0
train,eigenslang_pca,tfidf,contextual_sentence,all_candidates,0.0222,0.0222,0.0
validation,raw,tfidf,contextual_sentence,all_candidates,0.0667,0.0667,
validation,mean_offset,tfidf,contextual_sentence,all_candidates,0.0667,0.0667,0.0
validation,eigenslang_pca,tfidf,contextual_sentence,all_candidates,0.0667,0.0667,0.0
test,raw,tfidf,contextual_sentence,all_candidates,0.0,0.0667,
test,mean_offset,tfidf,contextual_sentence,all_candidates,0.0,0.0667,0.0
test,eigenslang_pca,tfidf,contextual_sentence,all_candidates,0.0,0.0667,0.0
