split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
train,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4222,0.5778,
train,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.6667,0.5
train,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4222,0.5778,0.0
validation,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.1333,0.4,
validation,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.2,0.4667,0.5
validation,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.1333,0.4,0.0
test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,
test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,0.5
test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,category_candidates,0.4,0.7333,0.0
