split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
train,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.3333,0.5686,
train,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.3333,0.5686,0.0
train,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.3725,0.6275,0.25
validation,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.2353,0.5294,
validation,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.2353,0.5294,0.0
validation,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.2941,0.5294,0.25
test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.4118,0.7059,
test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.4118,0.7059,0.0
test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,category_candidates,0.4118,0.5882,0.25
