split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
train,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1045,0.1791,
train,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1045,0.1791,0.0
train,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.1045,0.1791,0.0
validation,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.2273,0.2727,
validation,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.2273,0.2727,0.0
validation,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.2273,0.2727,0.0
test,raw,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0435,0.1739,
test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0435,0.1739,0.0
test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,term_paraphrase,all_candidates,0.0435,0.1739,0.0
