split,method,backend,representation_mode,candidate_mode,top_1_accuracy,top_3_accuracy,alpha
train,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0746,0.1642,
train,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0746,0.1642,0.0
train,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0746,0.1642,0.0
validation,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.1364,0.1818,
validation,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.1364,0.1818,0.0
validation,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.1364,0.1818,0.0
test,raw,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0435,
test,mean_offset,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0435,0.0
test,eigenslang_pca,sentence-transformers/all-MiniLM-L6-v2,contextual_sentence,all_candidates,0.0,0.0435,0.0
